shirt_color_name,shirt_hex,pant_color_name,pant_hex,accessory_suggestion,style_type
Cyan,#00FFFF,Mint,#98FF98,Black cap,Festive
Brown,#A52A2A,Hot Pink,#FF69B4,Gold chain,Traditional
Black,#000000,Sky Blue,#87CEEB,Black sunglasses,Party
Dark Gray,#A9A9A9,Magenta,#FF00FF,Leather wallet,Funky
Pink,#FFC0CB,Hot Pink,#FF69B4,White sneakers,Formal
Maroon,#800000,Coral,#FF7F50,White hat,Party
Brown,#A52A2A,Royal Blue,#4169E1,White hat,Trendy
Sky Blue,#87CEEB,Orange,#FFA500,Silver ring,Festive
Dark Gray,#A9A9A9,Pink,#FFC0CB,Black sunglasses,Party
Blue,#0000FF,Peach,#FFDAB9,Silver bracelet,Trendy
Olive,#808000,Mint,#98FF98,Brown sandals,Funky
Dark Gray,#A9A9A9,Purple,#800080,Black cap,Trendy
Beige,#F5F5DC,Royal Blue,#4169E1,Pearl earrings,Traditional
Gray,#808080,Blue,#0000FF,White goggles,Festive
Dark Gray,#A9A9A9,Hot Pink,#FF69B4,Silver necklace,Traditional
Cyan,#00FFFF,Gold,#FFD700,Pearl earrings,Party
Royal Blue,#4169E1,Gray,#808080,Silver necklace,Semi-formal
White,#FFFFFF,Maroon,#800000,Blue tie,Festive
Khaki,#C3B091,Gray,#808080,Silver necklace,Semi-formal
Olive,#808000,Beige,#F5F5DC,White goggles,Funky
Khaki,#C3B091,Hot Pink,#FF69B4,White hat,Funky
Mustard,#FFDB58,Coral,#FF7F50,Red scarf,Traditional
Olive,#808000,Navy Blue,#000080,Silver bracelet,Traditional
Beige,#F5F5DC,Sky Blue,#87CEEB,White sneakers,Festive
Khaki,#C3B091,Dark Gray,#A9A9A9,White sneakers,Festive
Black,#000000,Lavender,#E6E6FA,Pearl earrings,Festive
Khaki,#C3B091,Sky Blue,#87CEEB,Leather wallet,Traditional
Chocolate,#7B3F00,Dark Gray,#A9A9A9,Black cap,Formal
Gray,#808080,Brown,#A52A2A,White goggles,Trendy
Mustard,#FFDB58,Pink,#FFC0CB,Brown sandals,Casual
Sky Blue,#87CEEB,Green,#008000,Silver ring,Festive
White,#FFFFFF,Beige,#F5F5DC,Silver bracelet,Trendy
White,#FFFFFF,Brown,#A52A2A,Silver watch,Formal
Khaki,#C3B091,Orange,#FFA500,Red scarf,Funky
Sky Blue,#87CEEB,Black,#000000,Brown loafers,Semi-formal
Sky Blue,#87CEEB,Orange,#FFA500,White goggles,Funky
White,#FFFFFF,Yellow,#FFFF00,Red scarf,Festive
Purple,#800080,Orange,#FFA500,Brown sandals,Casual
